,address,areas,backyard,bathrooms,bedrooms,category,floor_if_condo,municipal,postalcode,price,year
173,"6-204 rue Villeray, Villeray / St-Michel / Parc-Extension, QC",900 ft² (83.61 m²),South,1.0,2.0,Condominium,2.0,,H2R 1G5,430000,1930
174,"5262 rue Fabre, Le Plateau-Mont-Royal, QC",2 160 ft² (200.67 m²),West,3.0,3.0,Condominium,1.0,520000.0,H2J 3W5,760000,1922
175,"4768 rue Notre-Dame Ouest, Le Sud-Ouest, QC",100 m² (1 076.39 ft²),South-East,1.0,3.0,Condominium,1.0,,H4C 1S8,449000,1913
176,"9589 rue Bellerive, Mercier / Hochelaga / Maisonneuve, QC",912 ft² (84.73 m²),North,1.5,2.0,Condominium,1.0,245000.0,H1L 3T1,249000,2008
177,"750 rue Amherst, Ville-Marie (Centre-Ville et Vieux Mtl), QC",106.7 m² (1 148.51 ft²),,1.0,3.0,Condominium,1.0,,H2L 5C9,449000,2004
178,"9450 rue Rousseau, Mercier / Hochelaga / Maisonneuve, QC",89.4 m² (962.29 ft²),,1.0,3.0,Condominium,2.0,249000.0,H1K 0E6,269900,2009
179,"311-11401 rue de la Gauchetière, Pointe-Aux-Trembles / Montréal-Est, QC",889.1 ft² (82.60 m²),,1.0,2.0,Condominium,2.0,165800.0,H1B 2H1,179900,2006
180,"B405-2635 rue Rufus-Rockhead, Le Sud-Ouest, QC",938 ft² (87.14 m²),,1.0,1.0,Condominium,4.0,264800.0,H3J 2W6,389000,1989
181,", Mercier / Hochelaga / Maisonneuve, QC","1,021 ft² (94.85 m²)",South-West,1.0,2.0,Condominium,,247100.0,,nformation provided by the seller,2000
182,"305-895 rue Muir, Saint-Laurent, QC",82.1 m² (883.72 ft²),East,1.0,2.0,Condominium,3.0,,H4L 5P4,318000,2005
183,"218-3625 rue Jean-Gascon, Saint-Laurent, QC",764 ft² (70.98 m²),,1.0,1.0,Condominium,2.0,215000.0,H4R 0K6,305000,2015
184,"1-2192 rue Théodore, Mercier / Hochelaga / Maisonneuve, QC",980 ft² (91.04 m²),West,1.0,2.0,Condominium,,,H1V 3C3,322000,2017
185,"9461 rue J.-P. Ronfard, Mercier / Hochelaga / Maisonneuve, QC",827.74 ft² (76.90 m²),,1.0,2.0,Condominium,1.0,229100.0,H1K 0E3,219000,2009
186,"120-4605 boulevard Henri-Bourassa Ouest, Saint-Laurent, QC",89.3 m² (961.22 ft²),,1.0,2.0,Condominium,1.0,205500.0,H4L 5H2,249000,1989
187,"408-3300 avenue Troie, Côte-des-Neiges / Notre-Dame-de-Grâce, QC",527 ft² (48.96 m²),,1.0,1.0,Condominium,4.0,339400.0,H3V 1A9,368000,2013
188,"310-2530 place Michel-Brault, Rosemont / La Petite Patrie, QC",800 ft² (74.32 m²),,1.0,3.0,Condominium,3.0,,H1Y 0B6,358000,2015
189,"508-2110 rue Caroline-Béique, Ahuntsic / Cartierville, QC",959 ft² (89.09 m²),,1.0,2.0,Condominium,5.0,258000.0,H4N 3K2,299900,2011
190,"707-4255 avenue Prince-of-Wales, Côte-des-Neiges / Notre-Dame-de-Grâce, QC",917 ft² (85.19 m²),East,1.0,3.0,Condominium,3.0,250000.0,H4B 0A2,400000,2008
191,"514-2530 place Michel-Brault, Rosemont / La Petite Patrie, QC",64.4 m² (693.20 ft²),West,1.0,2.0,Condominium,5.0,,H1Y 0B6,375000,2013
192,"403-4725 rue Messier, Le Plateau-Mont-Royal, QC",792 ft² (73.58 m²),,1.0,2.0,Condominium,4.0,,H2H 2J2,389000,2014
193,"101-14522 rue Bernard-Geoffrion, Pointe-Aux-Trembles / Montréal-Est, QC",85.4 m² (919.24 ft²),South-East,1.0,2.0,Condominium,,,H1A 0B6,227000,2014
194,"202-680 chemin du Bord du Lac, Dorval / L'Île Dorval, QC",835 ft² (77.57 m²),North,1.5,2.0,Condominium,2.0,,H9S 2B8,345995,2013
195,"2045 rue Réal-Benoit, Pointe-Aux-Trembles / Montréal-Est, QC",990 ft² (91.97 m²),,1.0,2.0,Condominium,1.0,137100.0,H1A 5J4,165000,1994
196,"1402-6900 boulevard Gouin Est, Montréal-Nord, QC",1 303 ft² (121.05 m²),,2.0,3.0,Condominium,14.0,395000.0,H1G 6L9,379000,1982
197,"5698 place de Jumonville, Rosemont / La Petite Patrie, QC","1,150 ft² (106.84 m²)",,1.0,2.0,Condominium,2.0,,H1M 3W2,329000,1984
198,"2098A rue Davidson, Mercier / Hochelaga / Maisonneuve, QC",1 500 ft² (139.35 m²),South-West,2.0,2.0,Condominium,1.0,,H1W 2Y8,398500,1911
